LONG / CV,E,P,GN,BIO,A,HOU
2023,0,0,0,0,0,1974.35
2024,0,0,0,0,0,1974.35
2025,0,0,0,0,0,1974.35
2026,0,0,0,0,0,1974.35
2027,0,0,0,0,0,1974.35
2028,0,0,0,0,0,1974.35
2029,0,0,0,0,0,1974.35
2030,0,0,0,0,0,1974.35
2031,0,0,0,0,0,1974.35
2032,0,0,0,0,0,1974.35
2033,0,0,0,0,0,1974.35
2034,0,0,0,0,0,1974.35
2035,0,0,0,0,0,1974.35
AGR,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,112101
2016,0,0,0,0,0,71633.2
2017,0,0,0,0,0,55290.3
2018,0,0,0,0,0,54573.6
2019,0,0,0,0,0,53856.8
2020,0,0,0,0,0,53140.1
2021,0,0,0,0,0,52423.4
2022,0,0,0,0,0,51850.2
2023,0,0,0,0,0,51838.7
2024,0,0,0,0,0,51838.7
2025,0,0,0,0,0,51838.7
2026,0,0,0,0,0,51838.7
2027,0,0,0,0,0,51838.7
2028,0,0,0,0,0,51838.7
2029,0,0,0,0,0,51838.7
2030,0,0,0,0,0,51838.7
2031,0,0,0,0,0,51838.7
2032,0,0,0,0,0,51838.7
2033,0,0,0,0,0,51838.7
2034,0,0,0,0,0,51838.7
2035,0,0,0,0,0,51838.7
DUMMYHOUSE,E,P,GN,BIO,A,HOU
2015,0,0,0,0,0,0
2016,0,0,0,0,0,0
2017,0,0,0,0,0,0
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,0,0,0,0,0,0
2024,0,0,0,0,0,0
2025,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,0,0,0,0,0,0
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2032,0,0,0,0,0,0
2033,0,0,0,0,0,0
2034,0,0,0,0,0,0
2035,0,0,0,0,0,0
IMPP,E,P,GN,BIO,A,HOU
2015,0,1.20325e+07,0,0,0,0
2016,0,7.9825e+06,0,0,0,0
2017,0,6.89029e+06,0,0,0,0
2018,0,6.79755e+06,0,0,0,0
2019,0,6.71138e+06,0,0,0,0
2020,0,6.62584e+06,0,0,0,0
2021,0,6.54091e+06,0,0,0,0
2022,0,6.46502e+06,0,0,0,0
2023,0,6.42291e+06,0,0,0,0
2024,0,6.38118e+06,0,0,0,0
2025,0,6.33912e+06,0,0,0,0
2026,0,6.29673e+06,0,0,0,0
2027,0,6.254e+06,0,0,0,0
2028,0,6.21091e+06,0,0,0,0
2029,0,6.16747e+06,0,0,0,0
2030,0,6.12367e+06,0,0,0,0
2031,0,6.07942e+06,0,0,0,0
2032,0,6.03468e+06,0,0,0,0
2033,0,5.98956e+06,0,0,0,0
2034,0,5.94405e+06,0,0,0,0
2035,0,5.89815e+06,0,0,0,0
IMPE,E,P,GN,BIO,A,HOU
2015,5.58219e+07,0,0,0,0,0
2016,4.1341e+07,0,0,0,0,0
2017,3.72717e+07,0,0,0,0,0
2018,3.68511e+07,0,0,0,0,0
2019,3.65471e+07,0,0,0,0,0
2020,3.62439e+07,0,0,0,0,0
